REGION,TEST/TRN,MonthNo,Week      ,popdensity ,ssta       ,soi     ,typhoon_distance,typhoon_wind,rainfall   ,poverty    ,ndvi       ,evi        ,daily_temp ,nightly_temp,polstab     ,dengue,dengue_next
CAR   ,TEST    ,5      ,5/31/2001 ,182.2476801,26.92500019,-0.2    ,-1              ,-1          ,1.473003125,14291.15308,7967.5625  ,4927.40625 ,12357.02459,9998.883117 ,-0.092983021,6     ,90
CAR   ,TEST    ,10     ,10/31/2001,182.9559056,24.44999981,0.2625  ,-1              ,-1          ,0.811242187,14291.15308,8027.15625 ,4373.15625 ,15014.21585,14434.65921 ,-0.089226277,25    ,18
CAR   ,TEST    ,3      ,3/31/2002 ,183.6480352,27.14000015,-0.16   ,12.89917888     ,27.18369565 ,2.618505   ,14291.15308,7253.875   ,4009.075   ,15040.98563,14453.58704 ,-0.085241015,1     ,2
CAR   ,TEST    ,8      ,8/31/2002 ,184.3401647,25.44999981,-0.56875,20.42920497     ,60.62420635 ,0.78504375 ,14291.15308,7337.875   ,4612.34375 ,13106.11443,9873.24992  ,-0.080951725,24    ,24
CAR   ,TEST    ,1      ,1/31/2003 ,185.0483902,26.42499972,-0.3875 ,6.821666888     ,8.403225808 ,1.074864062,14291.15308,7630.0625  ,4022.5625  ,14707.96771,14204.82938 ,-0.067107047,13    ,8
CAR   ,TEST    ,6      ,6/30/2003 ,185.7405197,25.84000015,-0.24   ,4.559138136     ,30.08646616 ,2.097305   ,14291.15308,7374.275   ,4791.025   ,15175.37238,12285.07113 ,-0.071363809,109   ,305
CAR   ,TEST    ,11     ,11/30/2003,186.4487453,25.37999954,0.26    ,10.48622762     ,55.16327561 ,1.5229625  ,14291.15308,7924       ,4372.85    ,12473.50274,14343.98608 ,-0.066063215,42    ,33
CAR   ,TEST    ,4      ,4/30/2004 ,187.1408748,27.39999962,-0.1875 ,4.305155083     ,21          ,1.6761625  ,14291.15308,7122.541667,4341.645833,15218.13279,14536.29386 ,-0.06059766 ,77    ,80
CAR   ,TEST    ,9      ,9/30/2004 ,187.8491004,25.0999999 ,-0.225  ,15.51145673     ,62.21869277 ,0.548284375,14291.15308,8050.625   ,5246       ,15046.30685,11680.80403 ,-0.054718233,33    ,16
CAR   ,TEST    ,2      ,2/28/2005 ,188.5573259,26.19999981,-1.825  ,-1              ,-1          ,2.899273437,14291.15308,7156.28125 ,4018.5     ,14920.27184,14389.48858 ,-0.048554813,1     ,2
CAR   ,TEST    ,7      ,7/31/2005 ,189.2494554,26.07999992,5.55E-18,9.793437273     ,29.25222875 ,1.23199875 ,14291.15308,7764.075   ,4896.15    ,14258.3825 ,10920.03665 ,-0.042262508,60    ,154
CAR   ,TEST    ,12     ,12/31/2005,189.9415849,24.1500001 ,0.6375  ,2.59504222      ,7.5         ,2.697303125,14291.15308,5712       ,3488.875   ,10224.32292,12293.44408 ,-0.03571049 ,29    ,36
I     ,TEST    ,1      ,1/31/2001 ,363.980235 ,24.9000001 ,1.2625  ,-1              ,-1          ,3.501625   ,14512.18652,6042.75    ,3604.125   ,15395.17857,14997.3531  ,-0.095659922,11    ,6
I     ,TEST    ,6      ,6/30/2001 ,365.3339281,26.5       ,0.1125  ,-1              ,-1          ,0.945575   ,14512.18652,7008       ,4602       ,7813.479168,7425        ,-0.092324385,70    ,220
I     ,TEST    ,11     ,11/30/2001,366.7520828,24.34999943,0.1375  ,-1              ,-1          ,4.05003125 ,14512.18652,6327.291667,4082.583333,15392.3125 ,14640.78482 ,-0.088508188,7     ,0
I     ,TEST    ,4      ,4/30/2002 ,368.1702376,27.57499981,-0.3625 ,-1              ,-1          ,2.07168125 ,14512.18652,3798.5     ,2540       ,16042.89584,14997.77292 ,-0.084368467,0     ,1
I     ,TEST    ,9      ,9/30/2002 ,369.5561615,25.54000015,-0.52   ,17.65780554     ,42.86078947 ,2.943      ,14512.18652,7859.9     ,5145.3     ,15530.37429,12099.41597 ,-0.080015646,9     ,7
I     ,TEST    ,2      ,2/28/2003 ,370.9420855,26.57499981,-0.55   ,-1              ,-1          ,1.9279375  ,14512.18652,5003       ,2885.5     ,15483.92619,14779.49029 ,-0.075365421,1     ,1
I     ,TEST    ,7      ,7/31/2003 ,372.3602402,25.82499981,0.225   ,4.031765324     ,25.00724638 ,1.73786875 ,14512.18652,6544.25    ,4224.5     ,15504.77441,15200.08846 ,-0.070304164,69    ,104
I     ,TEST    ,12     ,12/31/2003,373.7783949,25.5250001 ,0.2     ,-1              ,-1          ,1.26644375 ,14512.18652,6263       ,3873.625   ,15326.6131 ,14821.32083 ,-0.064942622,62    ,25
I     ,TEST    ,5      ,5/31/2004 ,375.1643189,26.80000038,0.28    ,2.172590034     ,12.3971831  ,2.666685   ,14512.18652,5093.1     ,3286.9     ,15759.40833,12084.1076  ,-0.059418216,25    ,80
I     ,TEST    ,10     ,10/31/2004,376.5824736,25.32000008,-0.34   ,13.08355758     ,59.96666667 ,1.990885   ,14512.18652,6689.4     ,4229.3     ,15378.90095,14797.29574 ,-0.053480226,49    ,27
I     ,TEST    ,3      ,3/31/2005 ,377.9683976,26.875     ,-0.0375 ,2.77138937      ,11.0882353  ,1.512375   ,14512.18652,4117.5     ,2678       ,15721.53125,14873.47351 ,-0.047404139,10    ,2
I     ,TEST    ,8      ,8/31/2005 ,379.3865523,25.25000048,-0.0375 ,17.07953292     ,63.6910636  ,0.427825   ,14512.18652,7690.5     ,5008.875   ,15473.65   ,11210.36264 ,-0.040912665,449   ,257
I     ,TEST    ,1      ,1/31/2006 ,380.7724762,24.92000008,1.06    ,-1              ,-1          ,2.875965   ,14556.49238,5416.4     ,3232.7     ,15419.59667,14754.75877 ,-0.035320015,26    ,18
II    ,TEST    ,2      ,2/28/2001 ,240.5646941,25.87499953,1.4     ,-1              ,-1          ,0.777220833,13819.59017,6843.194444,4272.222222,15029.88194,14399.878   ,-0.095047958,39    ,18
II    ,TEST    ,7      ,7/31/2001 ,242.0286022,25.54000015,-0.28   ,-1              ,-1          ,0.597441667,13819.59017,6252.233333,4667.4     ,14406.36222,10056.26667 ,-0.091570151,322   ,526
II    ,TEST    ,12     ,12/31/2001,243.5265546,24.55999985,-0.32   ,3.368273803     ,11.02845745 ,0.951595   ,13819.59017,6650.477778,4323.844444,12016.78333,14452.03847 ,-0.087687304,41    ,29
II    ,TEST    ,5      ,5/31/2002 ,244.9904626,27.25      ,-0.575  ,6.53427668      ,23.45       ,1.704529167,13819.59017,5128.375   ,3413.75    ,15975.01533,8712.218155 ,-0.083581491,18    ,24
II    ,TEST    ,10     ,10/31/2002,246.4884151,25.75000047,-0.4375 ,150.3635005     ,38.48294788 ,0.62121875 ,13819.59017,7017.75    ,4763.666667,15319.12732,9803.431996 ,-0.079067001,221   ,216
II    ,TEST    ,3      ,3/31/2003 ,247.9523231,27.2       ,-0.22   ,-1              ,-1          ,2.311825   ,13819.59017,5627.366667,3484.677778,15407.62349,14741.49465 ,-0.074354643,25    ,62
II    ,TEST    ,8      ,8/31/2003 ,249.4502755,25.09999962,0.02    ,7.65470003      ,38.99189189 ,0.209296667,13819.59017,6257.266667,4719.3     ,14447.35667,3978.862222 ,-0.069231491,629   ,756
II    ,TEST    ,1      ,1/31/2004 ,250.9141835,25.82500029,-0.3625 ,2.57628912      ,8.681818183 ,0.757014583,13819.59017,6452.069444,4340.819444,13916.99583,14414.69383 ,-0.097857243,32    ,21
II    ,TEST    ,6      ,6/30/2004 ,252.4121359,26.42500019,-0.6875 ,10.19585198     ,77.35136128 ,0.46793125 ,13819.59017,6118.958333,4094.25    ,14103.74752,7476.710606 ,-0.058227142,41    ,80
II    ,TEST    ,11     ,11/30/2004,253.9100884,25.44999981,-0.7375 ,7.658584144     ,31.34782609 ,0.40165625 ,13819.59017,3076.833333,2166.041667,10056      ,8407.83442  ,-0.052230826,103   ,32
II    ,TEST    ,4      ,4/30/2005 ,255.339952 ,27.59999991,-0.675  ,2.691605872     ,15.93269231 ,0.6609375  ,13819.59017,5679.166667,3936.541667,15505.71105,14860.99797 ,-0.046244306,30    ,31
II    ,TEST    ,9      ,9/30/2005 ,256.8379044,24.625     ,0.7     ,14.66494655     ,65.51662234 ,0.9663875  ,13819.59017,6351.916667,4810.666667,12651.78724,11062.73088 ,-0.03970309 ,172   ,82
II    ,TEST    ,2      ,2/28/2006 ,258.3358568,25.99999953,0.7375  ,-1              ,-1          ,2.05068125 ,13960.20622,7163.069445,4704.208333,15184.25   ,13391.48425 ,-0.032891771,18    ,19
III   ,TEST    ,3      ,3/31/2001 ,989.6419928,27.10000038,0.6375  ,-1              ,-1          ,1.63072375 ,13843.37539,6796.966667,4254.883333,15328.49833,14780.83468 ,-0.094424956,55    ,57
III   ,TEST    ,8      ,8/31/2001 ,999.9819765,24.82500028,-0.175  ,-1              ,-1          ,0.356125   ,13843.37539,4072.925   ,3636.225   ,12839.2175 ,9086.05     ,-0.090802694,1494  ,521
III   ,TEST    ,1      ,1/31/2002 ,1010.32196 ,25.02499962,0.6625  ,-1              ,-1          ,0.43548125 ,13843.37539,6646.9     ,4060.85    ,15137.74738,14663.31352 ,-0.087570089,64    ,30
III   ,TEST    ,6      ,6/30/2002 ,1020.426944,27.13999977,-0.32   ,9.800348429     ,31.54166667 ,1.915901   ,13843.37539,6300.4     ,4407.28    ,15351.772  ,10184.66505 ,-0.082683391,38    ,215
III   ,TEST    ,11     ,11/30/2002,1030.531928,26.32499981,-0.725  ,80.51448181     ,53.46153846 ,0.90545625 ,13843.37539,7254.15    ,5211.633333,14400.51131,14065.07233 ,-0.078212631,139   ,54
III   ,TEST    ,4      ,4/30/2003 ,1040.871912,27.25      ,-0.175  ,7.761022942     ,33.48958333 ,2.5787775  ,13843.37539,5882.025   ,3744.008333,15294.27952,14914.3309  ,-0.073331578,29    ,28
III   ,TEST    ,9      ,9/30/2003 ,1051.211896,24.94999981,-0.0625 ,26.20235783     ,67.76515151 ,0.44245875 ,13843.37539,6956       ,5263       ,13775.05222,6749.0625   ,-0.068146767,735   ,547
III   ,TEST    ,2      ,2/29/2004 ,1061.31688 ,26.3800003 ,0.88    ,2.466259694     ,5.670588236 ,2.40142    ,13843.37539,6297.64    ,3953.173333,14597.07633,14015.95133 ,-0.062791719,98    ,58
