REGION,TEST/TRN,MonthNo,Week      ,popdensity ,ssta       ,soi     ,typhoon_distance,typhoon_wind,rainfall   ,poverty    ,ndvi       ,evi        ,daily_temp ,nightly_temp,polstab     ,dengue,dengue_next
CAR   ,TRAIN   ,1      ,1/31/2001 ,181.7004149,24.9000001 ,1.2625  ,-1              ,-1          ,2.391504688,14291.15308,6790.6875  ,3807.59375 ,14947.30208,14461.74903 ,-0.095659922,7     ,8
CAR   ,TRAIN   ,2      ,2/28/2001 ,181.8291832,25.87499953,1.4     ,-1              ,-1          ,1.15184375 ,14291.15308,7181.739583,4085.145833,13107.21302,14261.08086 ,-0.095047959,8     ,6
CAR   ,TRAIN   ,3      ,3/31/2001 ,181.9579515,27.10000038,0.6375  ,-1              ,-1          ,1.727910937,14291.15308,7624.510417,4178.072917,15070.39628,14527.45792 ,-0.094424956,6     ,1
CAR   ,TRAIN   ,4      ,4/30/2001 ,182.1028158,27.52000046,-0.08   ,-1              ,-1          ,1.9526525  ,14291.15308,7758.575   ,4588.875   ,15144.61637,14778.13648 ,-0.09371067 ,1     ,6
CAR   ,TRAIN   ,6      ,6/30/2001 ,182.3764484,26.5       ,0.1125  ,-1              ,-1          ,1.9050125  ,14291.15308,7228.5625  ,4981.15625 ,7618.488096,3583.21875  ,-0.092324385,90    ,157
CAR   ,TRAIN   ,7      ,7/31/2001 ,182.5213127,25.54000015,-0.28   ,-1              ,-1          ,0.807065   ,14291.15308,6124.45    ,4761.25    ,14229.6325 ,10127.975   ,-0.091570151,157   ,125
CAR   ,TRAIN   ,8      ,8/31/2001 ,182.666177 ,24.82500028,-0.175  ,-1              ,-1          ,0.262965625,14291.15308,6682.96875 ,4519.03125 ,11353.31771,9817.560417 ,-0.090802694,125   ,61
CAR   ,TRAIN   ,9      ,9/30/2001 ,182.8110413,24.27999992,0.12    ,-1              ,-1          ,0.365085   ,14291.15308,8073.625   ,5049.375   ,14248.8794 ,8832.765361 ,-0.090021049,61    ,25
CAR   ,TRAIN   ,11     ,11/30/2001,183.0846739,24.34999943,0.1375  ,-1              ,-1          ,3.080917188,14291.15308,7381.125   ,3914.614583,10236.58854,14238.45833 ,-0.088508188,18    ,5
CAR   ,TRAIN   ,12     ,12/31/2001,183.2295383,24.55999985,-0.32   ,3.43262546      ,11.02845745 ,1.79849625 ,14291.15308,5953.325   ,3266.183333,13399.35887,14242.75964 ,-0.087687304,5     ,3
